1,0,Meta-Llama-3.1-8B-Instruct
5,0,Meta-Llama-3.1-8B-Instruct
6,1,Meta-Llama-3.1-8B-Instruct
8,1,Meta-Llama-3.1-8B-Instruct
9,1,Meta-Llama-3.1-8B-Instruct
11,0,Meta-Llama-3.1-8B-Instruct
12,0,Meta-Llama-3.1-8B-Instruct
13,1,Meta-Llama-3.1-8B-Instruct
17,0,Meta-Llama-3.1-8B-Instruct
18,1,Meta-Llama-3.1-8B-Instruct
19,0,Meta-Llama-3.1-8B-Instruct
20,1,Meta-Llama-3.1-8B-Instruct
21,1,Meta-Llama-3.1-8B-Instruct
22,1,Meta-Llama-3.1-8B-Instruct
23,0,Meta-Llama-3.1-8B-Instruct
24,1,Meta-Llama-3.1-8B-Instruct
25,1,Meta-Llama-3.1-8B-Instruct
26,1,Meta-Llama-3.1-8B-Instruct
27,1,Meta-Llama-3.1-8B-Instruct
31,0,Meta-Llama-3.1-8B-Instruct
35,1,Meta-Llama-3.1-8B-Instruct
36,0,Meta-Llama-3.1-8B-Instruct
37,1,Meta-Llama-3.1-8B-Instruct
41,1,Meta-Llama-3.1-8B-Instruct
42,1,Meta-Llama-3.1-8B-Instruct
43,0,Meta-Llama-3.1-8B-Instruct
44,1,Meta-Llama-3.1-8B-Instruct
45,1,Meta-Llama-3.1-8B-Instruct
46,1,Meta-Llama-3.1-8B-Instruct
52,0,Meta-Llama-3.1-8B-Instruct
54,1,Meta-Llama-3.1-8B-Instruct
55,0,Meta-Llama-3.1-8B-Instruct
56,0,Meta-Llama-3.1-8B-Instruct
58,1,Meta-Llama-3.1-8B-Instruct
59,1,Meta-Llama-3.1-8B-Instruct
60,1,Meta-Llama-3.1-8B-Instruct
62,0,Meta-Llama-3.1-8B-Instruct
64,1,Meta-Llama-3.1-8B-Instruct
65,0,Meta-Llama-3.1-8B-Instruct
67,1,Meta-Llama-3.1-8B-Instruct
68,0,Meta-Llama-3.1-8B-Instruct
70,1,Meta-Llama-3.1-8B-Instruct
71,1,Meta-Llama-3.1-8B-Instruct
72,1,Meta-Llama-3.1-8B-Instruct
73,0,Meta-Llama-3.1-8B-Instruct
74,1,Meta-Llama-3.1-8B-Instruct
