,task_id,pass_3
0,1,1.0
1,5,1.0
2,6,1.0
3,8,1.0
4,9,1.0
5,11,1.0
6,12,1.0
7,13,0.9166666666666666
8,17,1.0
9,18,1.0
10,19,1.0
11,20,0.9166666666666666
12,21,1.0
13,22,1.0
14,23,0.9666666666666667
15,24,1.0
16,25,1.0
17,26,1.0
18,27,1.0
19,28,1.0
20,31,1.0
21,33,1.0
22,35,1.0
23,36,1.0
24,37,1.0
25,41,1.0
26,42,1.0
27,43,1.0
28,44,1.0
29,45,1.0
30,46,1.0
31,47,1.0
32,51,0.9166666666666666
33,52,1.0
34,53,1.0
35,54,1.0
36,55,0.9166666666666666
37,56,1.0
38,57,0.9166666666666666
39,58,1.0
40,59,1.0
41,60,1.0
42,62,1.0
43,63,0.9166666666666666
44,64,0.7083333333333333
45,65,1.0
46,66,1.0
47,67,0.9166666666666666
48,68,1.0
49,70,0.0
50,71,0.0
51,72,1.0
52,73,1.0
53,74,1.0
54,75,1.0
55,76,1.0
56,77,0.5333333333333333
57,78,1.0
58,79,0.0
59,80,0.0
60,81,1.0
61,82,1.0
62,83,1.0
63,84,0.5333333333333333
64,85,1.0
65,86,1.0
66,213,1.0
67,214,1.0
68,215,1.0
69,216,1.0
70,219,1.0
71,220,1.0
72,221,0.7083333333333333
73,224,1.0
74,226,0.7083333333333333
75,227,1.0
76,229,1.0
77,230,1.0
78,231,1.0
79,232,1.0
80,233,1.0
81,234,1.0
82,235,1.0
83,240,1.0
84,241,1.0
85,242,1.0
86,244,1.0
87,248,1.0
88,249,0.7083333333333333
89,250,1.0
90,252,1.0
91,253,1.0
92,255,1.0
93,256,1.0
94,258,0.8333333333333334
95,259,0.30000000000000004
96,260,1.0
97,262,1.0
98,263,1.0
99,264,0.8333333333333334
100,266,0.5333333333333333
101,267,1.0
102,268,1.0
103,269,1.0
104,281,1.0
105,282,1.0
106,286,1.0
107,290,0.8333333333333334
108,291,1.0
109,366,1.0
110,369,1.0
111,370,0.8333333333333334
112,380,1.0
113,381,1.0
114,386,1.0
115,390,1.0
116,392,1.0
117,395,1.0
118,396,1.0
119,398,1.0
120,401,1.0
121,404,1.0
122,405,1.0
123,406,1.0
124,410,0.8333333333333334
125,412,1.0
126,413,1.0
127,414,1.0
128,420,0.8333333333333334
129,423,0.0
130,424,1.0
131,427,0.30000000000000004
132,428,0.5333333333333333
133,430,1.0
134,431,0.0
135,433,0.7083333333333333
136,438,1.0
137,442,1.0
138,443,1.0
139,444,1.0
140,445,1.0
141,451,1.0
142,460,1.0
143,461,1.0
144,462,1.0
145,463,1.0
146,465,1.0
147,468,1.0
148,469,1.0
149,470,0.7083333333333333
150,471,1.0
151,474,1.0
152,475,1.0
153,476,1.0
154,477,1.0
155,478,1.0
156,482,1.0
157,483,1.0
158,485,0.7083333333333333
159,486,1.0
160,487,1.0
161,488,1.0
162,490,1.0
163,491,1.0
164,492,1.0
165,493,0.7083333333333333
166,494,1.0
167,495,1.0
168,496,1.0
169,498,1.0
170,499,0.8333333333333334
171,500,1.0
172,501,1.0
173,505,1.0
174,506,0.8333333333333334
175,507,1.0
176,509,1.0
177,510,1.0
178,511,1.0
179,512,1.0
180,513,1.0
181,514,1.0
182,515,1.0
183,516,1.0
184,517,1.0
185,518,1.0
186,519,1.0
187,520,1.0
188,521,1.0
189,522,1.0
190,523,1.0
191,524,1.0
192,525,1.0
193,526,1.0
194,527,1.0
195,546,1.0
196,547,1.0
197,548,1.0
198,549,1.0
199,550,1.0
200,551,1.0
201,552,1.0
202,555,1.0
203,557,1.0
204,558,1.0
205,87,1.0
206,88,1.0
207,89,1.0
208,92,1.0
209,93,1.0
210,95,1.0
211,96,1.0
212,97,1.0
213,99,1.0
214,100,0.8333333333333334
215,101,0.30000000000000004
216,103,0.0
217,106,0.7083333333333333
218,107,1.0
219,108,1.0
220,109,1.0
221,110,1.0
222,112,1.0
223,114,0.0
224,115,1.0
225,116,0.7083333333333333
226,117,1.0
227,118,1.0
228,120,0.7083333333333333
229,121,1.0
230,122,1.0
231,123,0.0
232,124,1.0
233,125,0.5333333333333333
234,127,0.7083333333333333
235,129,1.0
236,130,1.0
237,133,1.0
238,134,1.0
239,135,1.0
240,138,1.0
241,139,0.5333333333333333
242,292,0.30000000000000004
243,293,1.0
244,298,1.0
245,299,1.0
246,305,1.0
247,306,1.0
248,308,1.0
249,313,1.0
250,315,1.0
251,317,0.0
252,318,1.0
253,319,1.0
254,320,0.7083333333333333
255,322,1.0
256,323,1.0
257,326,0.0
258,447,1.0
259,450,1.0
260,528,1.0
261,529,1.0
262,530,1.0
263,532,1.0
264,533,0.0
265,534,0.7083333333333333
266,535,1.0
267,536,0.0
268,537,1.0
269,540,1.0
270,541,1.0
271,542,0.7083333333333333
272,543,1.0
273,544,1.0
274,545,1.0
275,559,1.0
276,560,1.0
277,140,1.0
278,142,1.0
279,143,1.0
280,144,1.0
281,145,1.0
282,146,1.0
283,150,0.0
284,151,1.0
285,153,1.0
286,154,1.0
287,155,1.0
288,156,1.0
289,157,1.0
290,158,1.0
291,159,1.0
292,160,1.0
293,161,1.0
294,162,1.0
295,165,0.0
296,166,1.0
297,167,1.0
298,168,0.7083333333333333
299,169,1.0
300,331,1.0
301,334,0.7083333333333333
302,341,1.0
303,342,0.7083333333333333
304,565,1.0
305,566,0.30000000000000004
306,567,0.8333333333333334
307,569,1.0
308,571,1.0
309,575,1.0
310,576,1.0
311,577,1.0
312,578,1.0
313,581,0.7083333333333333
314,582,0.30000000000000004
315,583,0.5333333333333333
316,584,0.7083333333333333
317,585,1.0
318,586,1.0
319,170,1.0
320,173,1.0
321,174,1.0
322,176,1.0
323,177,1.0
324,178,1.0
325,179,1.0
326,180,1.0
327,181,1.0
328,182,1.0
329,348,1.0
330,349,1.0
331,350,1.0
332,351,1.0
333,352,1.0
334,609,1.0
335,611,1.0
336,612,1.0
337,614,1.0
338,615,1.0
339,616,1.0
340,617,1.0
341,625,1.0
342,626,1.0
343,628,1.0
344,630,1.0
345,631,1.0
346,632,1.0
347,633,1.0
348,183,1.0
349,184,1.0
350,187,1.0
351,188,1.0
352,189,1.0
353,190,1.0
354,191,1.0
355,192,1.0
356,193,1.0
357,195,1.0
358,196,1.0
359,197,1.0
360,198,1.0
361,200,0.30000000000000004
362,202,0.7083333333333333
363,203,0.5333333333333333
364,204,1.0
365,205,0.30000000000000004
366,206,0.5333333333333333
367,207,1.0
368,209,0.7083333333333333
369,210,1.0
370,354,1.0
371,355,1.0
372,356,1.0
373,357,1.0
374,358,0.0
375,359,0.5333333333333333
376,360,0.5333333333333333
377,361,0.30000000000000004
378,365,1.0
379,481,0.7083333333333333
380,589,1.0
381,590,0.30000000000000004
382,592,0.7083333333333333
383,594,1.0
384,595,1.0
385,597,1.0
386,598,0.30000000000000004
387,599,0.5333333333333333
388,601,0.5333333333333333
389,603,1.0
390,604,1.0
391,605,0.5333333333333333
392,606,1.0
