,task_id,pass_3
0,5,1.0
1,6,0.9916666666666667
2,8,0.5333333333333333
3,9,0.7083333333333333
4,11,0.0
5,12,0.0
6,13,0.0
7,17,0.5333333333333333
8,18,0.7083333333333333
9,19,0.0
10,20,0.9166666666666666
11,21,0.0
12,22,0.9166666666666666
13,23,0.0
14,24,0.30000000000000004
15,26,0.8333333333333334
16,27,0.0
17,28,0.9166666666666666
18,31,1.0
19,35,0.7083333333333333
20,36,0.30000000000000004
21,41,0.30000000000000004
22,42,0.7083333333333333
23,43,0.8333333333333334
24,44,1.0
25,45,0.8333333333333334
26,46,0.0
27,47,0.8333333333333334
28,52,0.0
29,54,0.7083333333333333
30,55,1.0
31,56,0.8333333333333334
32,58,0.0
33,59,0.0
34,60,0.0
35,62,0.0
36,64,0.0
37,65,1.0
38,67,0.0
39,68,1.0
40,70,0.0
41,71,0.0
42,73,0.0
43,75,0.0
44,76,1.0
45,77,0.0
46,78,0.0
47,79,0.0
48,80,0.0
49,81,0.0
50,83,1.0
51,84,0.0
52,86,1.0
53,214,0.0
54,215,0.0
55,219,0.0
56,220,1.0
57,224,0.0
58,226,0.0
59,229,0.0
60,230,0.0
61,231,0.0
62,232,0.0
63,233,0.0
64,234,0.0
65,235,0.0
66,241,0.0
67,242,0.0
68,244,0.0
69,248,0.0
70,250,0.0
71,256,0.0
72,259,0.0
73,260,0.0
74,262,0.0
75,263,0.0
76,264,0.0
77,267,0.0
78,268,0.0
79,269,0.0
80,281,0.0
81,282,0.0
82,286,0.0
83,290,0.0
84,291,0.0
85,369,1.0
86,370,0.0
87,380,0.0
88,381,1.0
89,386,1.0
90,390,1.0
91,392,1.0
92,395,0.0
93,396,0.0
94,401,0.0
95,404,0.0
96,405,0.0
97,406,0.0
98,410,0.0
99,413,0.0
100,420,0.0
101,423,0.0
102,424,0.0
103,427,0.0
104,430,0.0
105,431,0.0
106,433,0.0
107,444,0.0
108,445,0.0
109,451,0.0
110,460,0.0
111,462,0.0
112,465,0.0
113,468,0.0
114,469,0.0
115,470,0.0
116,471,0.0
117,474,0.0
118,475,0.0
119,476,0.0
120,482,0.0
121,483,0.0
122,485,0.0
123,486,0.0
124,487,0.0
125,488,0.0
126,490,0.0
127,492,0.0
128,493,0.0
129,494,0.0
130,495,0.0
131,496,0.0
132,498,0.0
133,499,0.0
134,500,1.0
135,501,1.0
136,505,1.0
137,506,1.0
138,507,1.0
139,509,1.0
140,510,0.0
141,511,1.0
142,512,0.0
143,513,0.0
144,514,0.0
145,515,0.0
146,516,0.0
147,517,0.0
148,518,0.0
149,519,0.0
150,520,1.0
151,521,0.0
152,522,0.0
153,523,0.0
154,524,0.0
155,525,0.0
156,526,0.0
157,527,0.0
158,546,0.0
159,547,0.0
